,Average in seconds
Time elapsed was 124ns or 0.000000124s,0.000000124
Time elapsed was 155ns or 0.000000155s,0.000000155
Time elapsed was 126ns or 0.000000126s,0.000000126
Time elapsed was 130ns or 0.000000130s,0.00000013
Time elapsed was 119ns or 0.000000119s,0.000000119
Time elapsed was 145ns or 0.000000145s,0.000000145
Time elapsed was 134ns or 0.000000134s,0.000000134
Time elapsed was 124ns or 0.000000124s,0.000000124
Time elapsed was 156ns or 0.000000156s,0.000000156
Time elapsed was 126ns or 0.000000126s,0.000000126
,
,0.0000001339
